,datetime,nav,cash_position,margin_requirement
0,2015-01-02,100.0,100.0,0.0
0,2015-01-05,100.00000000000001,100.0,1.1111111111111072
0,2015-01-06,100.00213781880043,100.0,2.2077020503367635
0,2015-01-07,100.00339630276527,100.0,3.3400518297721504
0,2015-01-08,99.98697296677211,100.0,4.504447314029747
0,2015-01-09,100.01751646576709,100.0,5.595453429328074
0,2015-01-12,100.07930986191555,100.0,6.674083846310154
0,2015-01-13,100.06456723889653,100.0,7.760017502325482
0,2015-01-14,100.07432957417643,100.0,8.845688586894589
0,2015-01-15,100.08077816675576,100.0,9.837907849108511
0,2015-01-16,100.06595976956409,100.0,11.114577160318824
0,2015-01-20,100.08509660300548,100.0,12.198302078543392
0,2015-01-21,99.91235892328896,100.0,13.328232655990654
0,2015-01-22,99.91251953358586,100.0,14.593071650211755
0,2015-01-23,99.95736009413706,100.0,15.65928666321605
0,2015-01-26,99.93822816716265,100.0,16.899271733689687
0,2015-01-27,100.01884982868833,100.0,17.961422208595764
0,2015-01-28,100.15165534899556,100.0,18.804116734255715
0,2015-01-29,100.19496833238468,100.0,20.065066857366446
0,2015-01-30,100.03579361232758,100.0,20.968027421219475
0,2015-02-02,99.76306202764938,100.0,22.270457944057185
0,2015-02-03,99.4802787136386,100.0,23.732406651547677
0,2015-02-04,99.62982977806662,100.0,24.697347939598643
0,2015-02-05,99.49594357881179,100.0,26.152903368412154
0,2015-02-06,99.3382416643488,100.0,27.19212309769007
0,2015-02-09,99.290168527767,100.0,28.233469653738126
0,2015-02-10,99.40749986761314,100.0,29.446838544034236
0,2015-02-11,99.41396694277577,100.0,30.525722004403406
0,2015-02-12,99.37441306609614,100.0,31.94207430651997
0,2015-02-13,99.19190356827511,100.0,33.272451003265104
0,2015-02-17,99.1334880852207,100.0,34.4388113776682
0,2015-02-18,99.23233713921915,100.0,35.55946198068034
0,2015-02-19,99.16130307074148,100.0,36.684535912859374
0,2015-02-20,99.10647702079062,100.0,37.834952412433495
0,2015-02-23,99.24404956986793,100.0,38.85466413324194
0,2015-02-24,99.34987542515212,100.0,40.05080200838603
