,0
arith mean,0.00047613698999483394
arith mean (ann),0.11998652147869815
geomean mean,0.00040985620047218063
geomean mean (ann),0.10878253997668796
sigma,0.011517085409248541
sigma (ann),0.18282806292697318
avg drawdown,0.07383912109128205
max drawdown,0.2537509661178714
